"date","avg_price"
2017-06-20,161.324128821235
2017-06-21,161.261873309429
2017-06-22,161.335471698113
2017-06-23,168.289098334904
2017-06-24,168.212001256676
2017-06-25,161.595620529552
2017-06-26,161.16171015404
2017-06-27,161.235497454591
2017-06-28,161.308416494069
2017-06-29,161.56131012024
2017-06-30,168.670323505579
2017-07-01,168.929982604374
2017-07-02,161.51665840971
2017-07-03,161.315028543063
2017-07-04,161.382197979297
2017-07-05,161.116987675729
2017-07-06,161.358142414861
2017-07-07,167.8853432282
2017-07-08,167.845720999258
2017-07-09,161.098372826827
2017-07-10,160.67604411947
2017-07-11,160.680379158664
2017-07-12,160.601077666295
2017-07-13,160.657422310264
2017-07-14,167.305610479486
2017-07-15,167.518349190659
2017-07-16,160.831932773109
2017-07-17,160.681905351067
2017-07-18,160.807777915172
2017-07-19,160.887837754282
2017-07-20,161.046577711885
2017-07-21,167.652399161219
2017-07-22,167.73284419508
2017-07-23,161.002898193254
2017-07-24,160.761763616154
2017-07-25,160.807583055453
2017-07-26,160.840301364787
2017-07-27,160.905241064263
2017-07-28,167.643949673122
2017-07-29,167.715043483624
2017-07-30,160.99963013192
2017-07-31,160.856860565642
2017-08-01,161.161091223306
2017-08-02,161.242893260159
2017-08-03,161.219300406454
2017-08-04,167.975527270491
2017-08-05,168.028824288612
2017-08-06,161.199889563777
2017-08-07,160.917219764012
2017-08-08,161.074064975742
2017-08-09,161.082422306842
2017-08-10,161.065896947737
2017-08-11,167.738591756624
2017-08-12,167.766580850803
2017-08-13,161.248820537957
2017-08-14,160.975705521472
2017-08-15,161.040576156911
2017-08-16,161.138237275678
2017-08-17,161.26111723631
2017-08-18,167.819066266903
2017-08-19,168.012960019562
2017-08-20,161.379103747631
2017-08-21,161.180966952264
2017-08-22,161.253717642739
2017-08-23,161.138047138047
2017-08-24,161.361423679061
2017-08-25,167.93317043372
2017-08-26,167.936835675015
2017-08-27,161.239689619356
2017-08-28,160.927322738386
2017-08-29,161.012279308449
2017-08-30,161.156513246246
2017-08-31,161.211470408786
2017-09-01,167.804445797808
2017-09-02,167.984106686153
2017-09-03,161.238735996103
2017-09-04,161.256324291375
2017-09-05,160.934000854753
2017-09-06,160.822006472492
2017-09-07,160.969961536113
2017-09-08,167.569868862458
2017-09-09,167.610823012629
2017-09-10,161.589021043001
2017-09-11,160.871101617333
2017-09-12,160.929804232482
2017-09-13,161.002072917937
2017-09-14,160.999207558671
2017-09-15,167.524285453105
2017-09-16,167.654359349296
2017-09-17,162.121991347267
2017-09-18,162.205461083684
2017-09-19,161.988793470979
2017-09-20,161.042445648864
2017-09-21,160.997198197101
2017-09-22,167.650152160682
2017-09-23,167.757588661111
2017-09-24,160.957074238463
2017-09-25,160.750258625936
2017-09-26,160.934221735427
2017-09-27,160.938789169455
2017-09-28,161.002068503985
2017-09-29,167.601143761027
2017-09-30,167.521334226064
2017-10-01,160.953994423566
2017-10-02,160.681691506119
2017-10-03,160.713887711223
2017-10-04,160.790027834927
2017-10-05,160.859484635858
2017-10-06,167.374879168681
2017-10-07,167.400966183575
2017-10-08,160.655542815762
2017-10-09,160.522413273002
2017-10-10,160.515259348613
2017-10-11,160.63523453515
2017-10-12,160.66258888755
2017-10-13,167.322265742694
2017-10-14,167.347595516452
2017-10-15,160.576626506024
2017-10-16,160.457278862376
2017-10-17,160.47147762183
2017-10-18,160.52414789835
2017-10-19,160.562992836935
2017-10-20,167.132799807449
2017-10-21,167.085910239442
2017-10-22,160.367509025271
2017-10-23,160.176367904653
2017-10-24,160.230565583634
2017-10-25,160.218377662775
2017-10-26,160.30796534713
2017-10-27,166.991700246587
2017-10-28,166.984245339747
2017-10-29,160.478441277287
2017-10-30,160.329565269677
2017-10-31,160.200950033071
2017-11-01,159.525208320844
2017-11-02,159.636505179951
2017-11-03,166.342891349895
2017-11-04,166.245228836375
2017-11-05,159.945144905886
2017-11-06,159.073498655512
2017-11-07,159.117559257269
2017-11-08,159.140887111217
2017-11-09,159.204690577072
2017-11-10,165.910332895836
2017-11-11,166.08660900686
2017-11-12,159.488992303562
2017-11-13,159.69625917308
2017-11-14,159.940176547775
2017-11-15,160.129091884801
2017-11-16,160.28952074392
2017-11-17,167.290931839847
2017-11-18,167.345464292096
2017-11-19,160.51828469327
2017-11-20,160.442161067429
2017-11-21,160.46049338577
2017-11-22,160.475259329915
2017-11-23,160.596494365945
2017-11-24,166.828356874665
2017-11-25,166.917073461126
2017-11-26,160.025367712737
2017-11-27,159.719959509349
2017-11-28,159.388895501071
2017-11-29,159.232064247472
2017-11-30,159.009631391201
2017-12-01,165.72533998456
2017-12-02,165.81937911571
2017-12-03,165.969566774078
2017-12-04,174.879300425728
2017-12-05,169.497483824587
2017-12-06,154.327963404932
2017-12-07,154.531928480204
2017-12-08,166.036337895234
2017-12-09,166.360306741444
2017-12-10,160.073585057564
2017-12-11,158.376327228675
2017-12-12,156.53362867499
2017-12-13,156.556491181541
2017-12-14,155.871836734694
2017-12-15,164.011517133513
2017-12-16,163.747792022792
2017-12-17,157.749361887568
2017-12-18,156.215770567104
2017-12-19,155.735716344768
2017-12-20,157.576849876002
2017-12-21,159.806028451493
2017-12-22,170.269437799043
2017-12-23,174.59300044301
2017-12-24,177.518064258099
2017-12-25,179.177479968801
2017-12-26,179.694450805282
2017-12-27,181.942886196085
2017-12-28,189.609575897141
2017-12-29,205.751985002206
2017-12-30,222.778628738147
2017-12-31,228.374793680736
2018-01-01,203.09429597128
2018-01-02,181.159221809804
2018-01-03,168.76138952164
2018-01-04,155.821587301587
2018-01-05,158.577877761488
2018-01-06,157.38532200226
2018-01-07,150.407842582106
2018-01-08,148.390698550179
2018-01-09,147.118601923528
2018-01-10,146.861023788298
2018-01-11,146.755264897535
2018-01-12,152.246961456609
2018-01-13,152.016197016339
2018-01-14,147.084934701493
2018-01-15,146.047321964971
2018-01-16,145.967557075515
2018-01-17,145.936495473859
2018-01-18,146.122802159767
2018-01-19,151.674401507145
2018-01-20,151.657526709157
2018-01-21,146.525781178828
2018-01-22,145.79950799508
2018-01-23,145.495675528041
2018-01-24,145.313329381185
2018-01-25,145.660593297931
2018-01-26,151.012025143482
2018-01-27,150.949055575736
2018-01-28,146.199070942137
2018-01-29,151.524559108746
2018-01-30,151.427144987123
2018-01-31,151.351744316903
2018-02-01,152.450134048257
2018-02-02,157.794597961999
2018-02-03,157.8324
2018-02-04,153.603839058245
2018-02-05,153.038744008092
2018-02-06,153.060514039257
2018-02-07,153.270441636212
2018-02-08,147.382692138392
2018-02-09,152.675465906599
2018-02-10,152.529125575279
2018-02-11,147.665618585964
2018-02-12,147.346776310034
2018-02-13,147.435515655792
2018-02-14,147.61982637671
2018-02-15,153.395120238722
2018-02-16,158.879063662218
2018-02-17,159.08325681053
2018-02-18,154.669421487603
2018-02-19,154.014239819397
2018-02-20,153.698028169014
2018-02-21,153.569433032046
2018-02-22,153.687718691952
2018-02-23,158.823974221267
2018-02-24,158.612486083754
2018-02-25,153.59084112948
2018-02-26,147.404892234006
2018-02-27,147.285970685013
2018-02-28,147.295074290093
2018-03-01,149.776290711956
2018-03-02,155.634737695821
2018-03-03,161.851117579219
2018-03-04,157.869579536722
2018-03-05,157.594584181848
2018-03-06,157.694094336507
2018-03-07,157.604915142164
2018-03-08,157.933520599251
2018-03-09,162.98097123687
2018-03-10,163.028320043992
2018-03-11,158.034677951198
2018-03-12,157.673994490358
2018-03-13,165.488675284499
2018-03-14,165.727438418204
2018-03-15,166.050422955714
2018-03-16,171.911483913691
2018-03-17,172.262513048734
2018-03-18,166.902300109529
2018-03-19,166.972903437705
2018-03-20,166.916456942773
2018-03-21,159.514281024294
2018-03-22,159.279758639605
2018-03-23,164.94944377134
2018-03-24,164.772760055478
2018-03-25,158.73917393963
2018-03-26,158.371906841339
2018-03-27,158.310220621342
2018-03-28,158.388574340392
2018-03-29,158.58598689832
2018-03-30,164.559997721966
2018-03-31,164.606033165431
2018-04-01,161.489028390454
2018-04-02,161.453889108241
2018-04-03,161.833342739432
2018-04-04,162.004902789518
2018-04-05,162.194322406218
2018-04-06,168.667970714805
