"price","boro","distances"
219,"Manhattan",337.266959854264
148,"Manhattan",344.659736223582
110,"Manhattan",443.536363727498
79,"Manhattan",65.7365147772634
172,"Manhattan",225.885276226433
140,"Manhattan",230.508573304479
175,"Manhattan",232.340892409559
119,"Manhattan",460.60557077704
295,"Manhattan",328.884230743359
300,"Manhattan",702.598197020098
36,"Manhattan",223.767286756371
79,"Manhattan",260.838036644721
150,"Manhattan",107.765839780187
185,"Manhattan",133.042891006233
120,"Manhattan",420.989453360117
150,"Manhattan",698.56947752589
230,"Manhattan",81.9881815700446
80,"Manhattan",265.239869565262
200,"Manhattan",348.699013962901
350,"Manhattan",72.2153824018031
225,"Manhattan",34.9764775988595
225,"Manhattan",221.009409012322
73,"Manhattan",195.949889673198
155,"Manhattan",225.377810776287
140,"Manhattan",120.008220118222
320,"Manhattan",156.736897080267
220,"Manhattan",320.979531083905
300,"Manhattan",221.31240700472
75,"Manhattan",768.523627559855
143,"Manhattan",113.985075277256
98,"Manhattan",273.784555156796
175,"Manhattan",347.974352316652
55,"Manhattan",256.162113774257
210,"Manhattan",149.155332326501
103,"Manhattan",233.072533078191
179,"Manhattan",215.610193401384
250,"Manhattan",197.551457015986
85,"Manhattan",341.367382044976
95,"Manhattan",337.609001165841
170,"Manhattan",352.484565976103
94,"Manhattan",328.136194413317
122,"Manhattan",276.882139829485
175,"Manhattan",251.776756413127
71,"Manhattan",387.205580785425
225,"Manhattan",79.2014825353539
270,"Manhattan",23.0464143211712
199,"Manhattan",266.149947266211
110,"Manhattan",190.170457670098
110,"Manhattan",95.7059285813935
85,"Manhattan",321.31571836527
88,"Manhattan",131.648119581792
59,"Manhattan",422.128298503424
60,"Manhattan",66.0002321897172
1000,"Manhattan",177.743278862936
145,"Manhattan",149.533723080453
180,"Manhattan",65.1653633887679
205,"Manhattan",495.399022659661
250,"Manhattan",305.843131105782
200,"Manhattan",1006.24229849118
115,"Manhattan",318.009963898726
78,"Manhattan",300.305334716674
75,"Manhattan",323.70546559533
80,"Manhattan",54.5599734068064
140,"Manhattan",335.087767115607
72,"Manhattan",229.276704022206
300,"Manhattan",119.446319595921
60,"Manhattan",49.0593899498298
55,"Manhattan",419.728780009248
110,"Manhattan",102.140698001593
129,"Manhattan",85.3254174118949
97,"Manhattan",468.763194398106
151,"Manhattan",129.712102758267
160,"Manhattan",130.386603454844
95,"Manhattan",239.200820682103
85,"Manhattan",160.521590651581
295,"Manhattan",248.820319526065
150,"Manhattan",201.258057072621
350,"Manhattan",649.372982795289
25,"Manhattan",227.427523444565
80,"Manhattan",535.666848385162
899,"Manhattan",535.112029024201
200,"Manhattan",153.643153977484
50,"Manhattan",276.956492104255
199,"Manhattan",306.846529799519
60,"Manhattan",157.237398174714
115,"Manhattan",279.429846537642
195,"Manhattan",126.401009667593
48,"Manhattan",299.504119346377
275,"Manhattan",88.5855410240716
125,"Manhattan",490.986031841579
125,"Manhattan",1028.90129022102
75,"Manhattan",187.727364074842
100,"Manhattan",152.53772438757
68,"Manhattan",193.620358792469
125,"Manhattan",102.353468190988
100,"Manhattan",273.950883011268
115,"Manhattan",524.96552212486
100,"Manhattan",286.174660120046
300,"Manhattan",221.352352659997
175,"Manhattan",206.333624573702
120,"Manhattan",415.01603617896
50,"Manhattan",151.438578735791
220,"Manhattan",59.0719979453542
89,"Manhattan",209.449927905055
195,"Manhattan",356.412058529714
226,"Manhattan",288.238509805064
1053,"Manhattan",189.860182633298
134,"Manhattan",362.156910103598
5000,"Manhattan",323.031782889857
70,"Manhattan",400.129996820736
128,"Manhattan",414.698367198099
265,"Manhattan",434.073153010265
